no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,9708 ,9700 ,8 ,3056 ,4251 ,1 ,PP,DPK
2 ,1368 ,1368 ,0 ,524 ,489 ,0 ,,
3 ,3696 ,2204 ,1492 ,802 ,671 ,0 ,,
4 ,3502 ,1919 ,1583 ,751 ,582 ,0 ,,
5 ,4274 ,2253 ,2021 ,757 ,762 ,0 ,,
6 ,4154 ,2020 ,2134 ,768 ,712 ,0 ,,
7 ,4189 ,2187 ,2002 ,831 ,756 ,0 ,,
8 ,2399 ,2399 ,0 ,987 ,843 ,1 ,,
9 ,3755 ,2082 ,1673 ,810 ,709 ,0 ,,
10 ,3874 ,2120 ,1754 ,915 ,655 ,0 ,,
11 ,3751 ,2220 ,1531 ,1048 ,629 ,0 ,,
12 ,3568 ,2375 ,1193 ,913 ,969 ,0 ,,
13 ,3506 ,2122 ,1384 ,804 ,774 ,0 ,,
14 ,3933 ,2023 ,1910 ,807 ,667 ,0 ,,
15 ,3931 ,1937 ,1994 ,793 ,605 ,0 ,,
16 ,2014 ,2014 ,0 ,853 ,733 ,1 ,,
17 ,3431 ,2008 ,1423 ,836 ,654 ,0 ,,
18 ,4192 ,2480 ,1712 ,1060 ,856 ,0 ,,
19 ,2859 ,1996 ,863 ,877 ,667 ,0 ,,
20 ,3504 ,2403 ,1101 ,1059 ,789 ,0 ,,
21 ,3506 ,2333 ,1173 ,1045 ,851 ,0 ,,
22 ,3278 ,1670 ,1608 ,705 ,554 ,0 ,,
23 ,3693 ,2002 ,1691 ,747 ,575 ,0 ,,
24 ,1210 ,1210 ,0 ,471 ,491 ,1 ,,
25 ,3654 ,1831 ,1823 ,778 ,610 ,0 ,,
26 ,3501 ,1988 ,1513 ,836 ,690 ,0 ,,
27 ,4455 ,2158 ,2297 ,889 ,806 ,0 ,,
28 ,1329 ,1329 ,0 ,557 ,459 ,1 ,,
29 ,3804 ,2425 ,1379 ,990 ,812 ,0 ,,
30 ,4072 ,2129 ,1943 ,791 ,683 ,0 ,,
31 ,4084 ,2917 ,1167 ,1182 ,1184 ,0 ,,
32 ,2342 ,2342 ,0 ,840 ,982 ,1 ,,
33 ,3699 ,2000 ,1699 ,601 ,899 ,0 ,,
34 ,4243 ,2485 ,1758 ,898 ,1035 ,0 ,,
35 ,4520 ,2546 ,1974 ,902 ,1071 ,0 ,,
36 ,3635 ,1809 ,1826 ,709 ,674 ,0 ,,
37 ,2897 ,1576 ,1321 ,608 ,603 ,0 ,,
38 ,4163 ,2605 ,1558 ,1100 ,853 ,0 ,,
39 ,1755 ,1755 ,0 ,734 ,649 ,1 ,,
40 ,4218 ,2135 ,2083 ,821 ,697 ,0 ,,
41 ,4284 ,2271 ,2013 ,905 ,817 ,0 ,,
42 ,5469 ,2929 ,2540 ,1067 ,1353 ,0 ,,
43 ,5147 ,2570 ,2577 ,997 ,904 ,0 ,,
44 ,3774 ,2270 ,1504 ,887 ,863 ,0 ,,
45 ,1618 ,1618 ,0 ,587 ,677 ,1 ,,
46 ,4645 ,2533 ,2112 ,954 ,1021 ,0 ,,
47 ,4502 ,2429 ,2073 ,950 ,888 ,0 ,,
48 ,4004 ,2402 ,1602 ,931 ,998 ,0 ,,
49 ,3039 ,3038 ,1 ,1132 ,1144 ,1 ,,
50 ,3740 ,1898 ,1842 ,747 ,705 ,0 ,,
51 ,4489 ,2337 ,2152 ,874 ,923 ,0 ,,
52 ,4028 ,2202 ,1826 ,822 ,804 ,0 ,,
53 ,4144 ,2144 ,2000 ,834 ,761 ,0 ,,
54 ,3755 ,2359 ,1396 ,959 ,806 ,0 ,,
55 ,1661 ,1660 ,1 ,593 ,617 ,1 ,,
56 ,3368 ,1881 ,1487 ,683 ,711 ,0 ,,
57 ,3285 ,1975 ,1310 ,711 ,715 ,0 ,,
58 ,3395 ,1677 ,1718 ,579 ,628 ,0 ,,
59 ,3508 ,1845 ,1663 ,625 ,614 ,0 ,,
60 ,1670 ,1670 ,0 ,488 ,827 ,1 ,,
61 ,4821 ,2109 ,2712 ,682 ,936 ,0 ,,
62 ,4304 ,1787 ,2517 ,560 ,813 ,0 ,,
63 ,3893 ,1763 ,2130 ,586 ,747 ,0 ,,
64 ,3611 ,1877 ,1734 ,641 ,640 ,0 ,,
