no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,5694,5694,0,2897,2164,1,DPK,UFP
2,1148,1147,1,630,430,1,,
3,3064,1827,1237,907,764,0,,
4,3287,2182,1105,1043,952,0,,
5,3246,2058,1188,1180,706,0,,
6,1182,1180,2,614,477,1,,
7,3002,1556,1446,792,614,0,,
8,4015,2544,1471,977,1395,0,,
9,281,281,0,143,120,1,,
10,2161,1237,924,564,560,0,,
11,738,737,1,400,288,1,,
12,3005,1727,1278,922,675,0,,
13,2439,1547,892,804,616,0,,
14,2267,1385,882,680,596,0,,
15,1615,1614,1,742,773,1,,
16,2778,1552,1226,741,717,0,,
17,4057,2313,1744,995,1168,0,,
18,2292,1406,886,668,671,0,,
19,2265,1483,782,747,636,0,,
20,2365,1412,953,678,654,0,,
21,768,768,0,388,331,1,,
22,2120,1457,663,747,598,0,,
23,3543,2193,1350,1106,911,0,,
24,352,351,1,177,143,1,,
25,1887,1060,827,553,406,0,,
26,1627,781,846,436,303,0,,
27,606,606,0,321,231,1,,
28,3494,2117,1377,1038,876,0,,
29,570,570,0,314,218,1,,
30,3464,1324,2140,573,659,0,,
31,3054,1617,1437,785,713,0,,
32,475,475,0,247,197,1,,
33,2100,955,1145,413,456,0,,
34,2407,1280,1127,714,453,0,,
35,813,813,0,493,268,1,,
36,3408,2058,1350,1202,654,0,,
37,3250,1681,1569,968,554,0,,
38,1961,1960,1,1157,614,1,,
39,2998,1965,1033,1094,730,0,,
40,2812,1664,1148,903,595,0,,
41,2727,1657,1070,841,664,0,,
42,2282,1438,844,861,434,0,,
43,2005,1165,840,658,421,0,,
44,285,285,0,172,88,1,,
45,1567,608,959,292,277,0,,
46,3215,1878,1337,1047,671,0,,
47,749,749,0,463,239,1,,
48,2074,967,1107,550,320,0,,
49,2735,1518,1217,887,492,0,,
50,2827,1536,1291,930,474,0,,
51,675,675,0,374,260,1,,
52,2178,1166,1012,636,426,0,,
53,3379,2152,1227,1224,748,0,,
54,546,546,0,306,204,1,,
55,2918,1404,1514,742,556,0,,
56,2201,1323,878,750,458,0,,
57,707,707,0,414,236,1,,
58,2279,1081,1198,583,378,0,,
59,2898,1343,1555,712,497,0,,
60,2597,1426,1171,812,483,0,,
