no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,14488 ,14484 ,4 ,8563 ,5178 ,1 ,DPK,UFP
2,4565 ,4563 ,2 ,2682 ,1758 ,1 ,,
3,2959 ,1865 ,1094 ,762 ,1025 ,0 ,,
4,2946 ,1961 ,985 ,841 ,1040 ,0 ,,
5,3259 ,2064 ,1195 ,1034 ,946 ,0 ,,
6,2719 ,1996 ,723 ,891 ,1031 ,0 ,,
7,3196 ,2010 ,1186 ,862 ,1066 ,0 ,,
8,2915 ,1923 ,992 ,653 ,1209 ,0 ,,
9,5339 ,5339 ,0 ,3482 ,1666 ,1 ,,
10,2592 ,1276 ,1316 ,697 ,510 ,0 ,,
11,2692 ,1578 ,1114 ,763 ,721 ,0 ,,
12,2822 ,1666 ,1156 ,850 ,705 ,0 ,,
13,2669 ,1758 ,911 ,848 ,841 ,0 ,,
14,1934 ,1168 ,766 ,629 ,470 ,0 ,,
15,1938 ,1168 ,770 ,604 ,494 ,0 ,,
16,2478 ,1452 ,1026 ,747 ,617 ,0 ,,
17,2394 ,1361 ,1033 ,753 ,524 ,0 ,,
18,4887 ,4887 ,0 ,2948 ,1790 ,1 ,,
19,2444 ,1553 ,891 ,609 ,885 ,0 ,,
20,2957 ,1443 ,1514 ,758 ,612 ,0 ,,
21,2889 ,1382 ,1507 ,711 ,578 ,0 ,,
22,2761 ,1408 ,1353 ,739 ,595 ,0 ,,
23,2580 ,1318 ,1262 ,697 ,577 ,0 ,,
24,5794 ,5794 ,0 ,3586 ,2023 ,1 ,,
25,2451 ,1311 ,1140 ,673 ,582 ,0 ,,
26,2313 ,1171 ,1142 ,583 ,532 ,0 ,,
27,2841 ,1670 ,1171 ,846 ,738 ,0 ,,
28,2609 ,1473 ,1136 ,823 ,560 ,0 ,,
29,2571 ,1491 ,1080 ,751 ,663 ,0 ,,
30,2877 ,1806 ,1071 ,980 ,712 ,0 ,,
31,7404 ,7404 ,0 ,4089 ,3129 ,1 ,,
32,2261 ,1440 ,821 ,569 ,824 ,0 ,,
33,2914 ,2116 ,798 ,849 ,1193 ,0 ,,
34,2606 ,1673 ,933 ,627 ,986 ,0 ,,
35,2294 ,1724 ,570 ,608 ,1071 ,0 ,,
36,2661 ,1592 ,1069 ,591 ,941 ,0 ,,
37,2046 ,1494 ,552 ,588 ,854 ,0 ,,
38,2589 ,1842 ,747 ,741 ,1043 ,0 ,,
39,2303 ,1632 ,671 ,646 ,935 ,0 ,,
40,2822 ,2138 ,684 ,982 ,1057 ,0 ,,
41,3907 ,3907 ,0 ,2256 ,1524 ,1 ,,
42,2642 ,1411 ,1231 ,687 ,668 ,0 ,,
43,2652 ,1694 ,958 ,759 ,865 ,0 ,,
44,2141 ,1550 ,591 ,546 ,956 ,0 ,,
45,1952 ,1414 ,538 ,542 ,799 ,0 ,,
46,1806 ,1160 ,646 ,487 ,619 ,0 ,,
47,5078 ,5078 ,0 ,3307 ,1633 ,0 ,,
48,3302 ,1876 ,1426 ,930 ,858 ,0 ,,
49,2738 ,1803 ,935 ,922 ,806 ,0 ,,
50,2999 ,1896 ,1103 ,970 ,839 ,0 ,,
51,2573 ,1557 ,1016 ,772 ,727 ,0 ,,
52,4125 ,4125 ,0 ,2311 ,1699 ,1 ,,
53,2173 ,1531 ,642 ,599 ,861 ,0 ,,
54,1819 ,1246 ,573 ,495 ,718 ,0 ,,
55,3013 ,2194 ,819 ,835 ,1292 ,0 ,,
56,2896 ,2108 ,788 ,1056 ,975 ,0 ,,
57,2603 ,1882 ,721 ,926 ,871 ,0 ,,
58,1827 ,1282 ,545 ,512 ,720 ,0 ,,
59,4218 ,4216 ,2 ,2560 ,1542 ,1 ,,
60,2271 ,1308 ,963 ,551 ,692 ,0 ,,
61,2466 ,1779 ,687 ,858 ,849 ,0 ,,
62,3072 ,1870 ,1202 ,888 ,872 ,0 ,,
63,2464 ,1611 ,853 ,784 ,766 ,0 ,,
64,2182 ,1304 ,878 ,628 ,597 ,0 ,,
65,2224 ,1311 ,913 ,612 ,637 ,0 ,,
66,2347 ,1714 ,633 ,803 ,823 ,0 ,,
67,1802 ,1356 ,446 ,589 ,722 ,0 ,,
