no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,7849 ,7843 ,6 ,2871 ,3403 ,1 ,SP,DPK
2,1484 ,1484 ,0 ,738 ,458 ,1 ,,
3,3919 ,1737 ,2182 ,733 ,647 ,0 ,,
4,3607 ,1626 ,1981 ,681 ,590 ,0 ,,
5,2995 ,1437 ,1558 ,625 ,501 ,0 ,,
6,3445 ,1508 ,1937 ,634 ,560 ,0 ,,
7,3966 ,2051 ,1915 ,890 ,765 ,0 ,,
8,1583 ,1582 ,1 ,735 ,584 ,1 ,,
9,3214 ,1706 ,1508 ,817 ,583 ,0 ,,
10,2385 ,1335 ,1050 ,634 ,469 ,0 ,,
11,4242 ,2537 ,1705 ,1025 ,1009 ,0 ,,
12,3545 ,2009 ,1536 ,852 ,779 ,0 ,,
13,3355 ,1703 ,1652 ,726 ,615 ,0 ,,
14,1176 ,1176 ,0 ,539 ,422 ,1 ,,
15,3267 ,1384 ,1883 ,589 ,501 ,0 ,,
16,3301 ,1550 ,1751 ,644 ,609 ,0 ,,
17,3164 ,1375 ,1789 ,542 ,572 ,0 ,,
18,3525 ,1614 ,1911 ,719 ,603 ,0 ,,
19,1446 ,1446 ,0 ,655 ,577 ,1 ,,
20,4161 ,2439 ,1722 ,1160 ,876 ,0 ,,
21,3276 ,1922 ,1354 ,879 ,710 ,0 ,,
22,3789 ,2124 ,1665 ,890 ,856 ,0 ,,
23,2836 ,1600 ,1236 ,666 ,651 ,0 ,,
24,1621 ,1621 ,0 ,839 ,497 ,1 ,,
25,3854 ,2127 ,1727 ,903 ,819 ,0 ,,
26,4057 ,2066 ,1991 ,827 ,767 ,0 ,,
27,3682 ,1738 ,1944 ,703 ,657 ,0 ,,
28,952 ,952 ,0 ,435 ,374 ,1 ,,
29,3167 ,1556 ,1611 ,645 ,651 ,0 ,,
30,2110 ,1150 ,960 ,515 ,467 ,0 ,,
31,3181 ,1627 ,1554 ,736 ,600 ,0 ,,
32,1516 ,1516 ,0 ,652 ,624 ,1 ,,
33,3327 ,1679 ,1648 ,719 ,626 ,0 ,,
34,3072 ,1586 ,1486 ,667 ,622 ,0 ,,
35,2676 ,1366 ,1310 ,634 ,470 ,0 ,,
36,2550 ,1376 ,1174 ,606 ,507 ,0 ,,
37,3210 ,1909 ,1301 ,734 ,806 ,0 ,,
38,2859 ,1723 ,1136 ,680 ,704 ,0 ,,
39,2112 ,2112 ,0 ,858 ,892 ,1 ,,
40,2983 ,1717 ,1266 ,631 ,732 ,0 ,,
41,2311 ,1028 ,1283 ,403 ,418 ,0 ,,
42,2507 ,1054 ,1453 ,433 ,386 ,0 ,,
43,2341 ,929 ,1412 ,396 ,349 ,0 ,,
44,2670 ,1192 ,1478 ,536 ,414 ,0 ,,
45,2912 ,1571 ,1341 ,611 ,661 ,0 ,,
46,3761 ,2349 ,1412 ,935 ,987 ,0 ,,
47,3270 ,1982 ,1288 ,677 ,918 ,0 ,,
48,3167 ,1907 ,1260 ,862 ,786 ,0 ,,
49,2832 ,1910 ,922 ,748 ,864 ,0 ,,
50,2844 ,1745 ,1099 ,653 ,746 ,0 ,,
51,2596 ,1710 ,886 ,650 ,755 ,0 ,,
52,2197 ,1520 ,677 ,604 ,673 ,0 ,,
53,2173 ,1478 ,695 ,533 ,706 ,0 ,,
54,1957 ,1957 ,0 ,770 ,744 ,1 ,,
55,3622 ,1979 ,1643 ,718 ,841 ,0 ,,
56,3039 ,1623 ,1416 ,618 ,644 ,0 ,,
57,3185 ,1456 ,1729 ,573 ,546 ,0 ,,
58,3248 ,1799 ,1449 ,661 ,719 ,0 ,,
59,3639 ,2026 ,1613 ,833 ,787 ,0 ,,
60,3236 ,1658 ,1578 ,675 ,623 ,0 ,,
61,3099 ,1594 ,1505 ,678 ,583 ,0 ,,
62,3886 ,2090 ,1796 ,825 ,816 ,0 ,,
