no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,3516 ,3514 ,2 ,1928 ,1500 ,1 ,SP,DPK
2 ,364 ,364 ,0 ,248 ,111 ,1 ,,
3 ,2502 ,1154 ,1348 ,777 ,320 ,0 ,,
4 ,711 ,396 ,315 ,275 ,108 ,0 ,,
5 ,531 ,301 ,230 ,215 ,78 ,0 ,,
6 ,661 ,661 ,0 ,414 ,234 ,1 ,,
7 ,2636 ,898 ,1738 ,595 ,276 ,0 ,,
8 ,1959 ,847 ,1112 ,584 ,244 ,0 ,,
9 ,1105 ,497 ,608 ,343 ,139 ,0 ,,
10 ,513 ,245 ,268 ,166 ,74 ,0 ,,
11 ,3239 ,1479 ,1760 ,807 ,630 ,0 ,,
12 ,2638 ,1037 ,1601 ,679 ,321 ,0 ,,
13 ,318 ,318 ,0 ,221 ,93 ,1 ,,
14 ,2154 ,912 ,1242 ,614 ,279 ,0 ,,
15 ,1919 ,872 ,1047 ,598 ,253 ,0 ,,
16 ,1085 ,565 ,520 ,407 ,140 ,0 ,,
17 ,261 ,261 ,0 ,182 ,70 ,1 ,,
18 ,2377 ,1112 ,1265 ,826 ,258 ,0 ,,
19 ,1680 ,807 ,873 ,638 ,156 ,0 ,,
20 ,317 ,317 ,0 ,257 ,53 ,1 ,,
21 ,1468 ,704 ,764 ,542 ,144 ,0 ,,
22 ,865 ,446 ,419 ,312 ,116 ,0 ,,
23 ,262 ,262 ,0 ,187 ,68 ,1 ,,
24 ,1849 ,961 ,888 ,710 ,237 ,0 ,,
25 ,418 ,418 ,0 ,310 ,98 ,1 ,,
26 ,2132 ,950 ,1182 ,747 ,180 ,0 ,,
27 ,1774 ,845 ,929 ,591 ,230 ,0 ,,
28 ,1096 ,532 ,564 ,421 ,97 ,0 ,,
29 ,883 ,438 ,445 ,306 ,120 ,0 ,,
30 ,234 ,234 ,0 ,158 ,68 ,1 ,,
31 ,2467 ,1105 ,1362 ,809 ,271 ,0 ,,
32 ,1075 ,506 ,569 ,379 ,114 ,0 ,,
33 ,564 ,307 ,257 ,213 ,82 ,0 ,,
34 ,184 ,184 ,0 ,115 ,68 ,1 ,,
35 ,1009 ,518 ,491 ,390 ,117 ,0 ,,
36 ,699 ,347 ,352 ,275 ,66 ,0 ,,
37 ,586 ,329 ,257 ,226 ,94 ,0 ,,
38 ,710 ,383 ,327 ,267 ,109 ,0 ,,
39 ,1410 ,1410 ,0 ,793 ,586 ,1 ,,
40 ,2432 ,713 ,1719 ,473 ,222 ,0 ,,
41 ,2417 ,1029 ,1388 ,582 ,427 ,0 ,,
42 ,2977 ,1278 ,1699 ,811 ,429 ,0 ,,
43 ,1746 ,782 ,964 ,503 ,252 ,0 ,,
44 ,4143 ,1526 ,2617 ,914 ,574 ,0 ,,
45 ,2050 ,898 ,1152 ,534 ,344 ,0 ,,
46 ,1132 ,1132 ,0 ,660 ,453 ,1 ,,
47 ,2625 ,1012 ,1613 ,668 ,314 ,0 ,,
48 ,3595 ,1490 ,2105 ,914 ,543 ,0 ,,
49 ,4235 ,1817 ,2418 ,933 ,834 ,0 ,,
50 ,3015 ,1263 ,1752 ,756 ,483 ,0 ,,
51 ,1045 ,1044 ,1 ,631 ,390 ,1 ,,
52 ,1985 ,801 ,1184 ,482 ,296 ,0 ,,
53 ,3743 ,1436 ,2307 ,818 ,587 ,0 ,,
54 ,4110 ,1729 ,2381 ,945 ,728 ,0 ,,
