no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1,7999 ,7996 ,3 ,3015 ,3139 ,1 ,SP,DPK
2,2765 ,2765 ,0 ,968 ,1147 ,1 ,,
3,4116 ,1672 ,2444 ,504 ,777 ,0 ,,
4,3571 ,1780 ,1791 ,661 ,653 ,0 ,,
5,4596 ,2860 ,1736 ,1017 ,1171 ,0 ,,
6,3688 ,2255 ,1433 ,811 ,912 ,0 ,,
7,3587 ,2099 ,1488 ,741 ,870 ,0 ,,
8,3073 ,1887 ,1186 ,738 ,710 ,0 ,,
9,3306 ,1990 ,1316 ,690 ,860 ,0 ,,
10,2522 ,2522 ,0 ,912 ,1109 ,1 ,,
11,2835 ,1884 ,951 ,727 ,752 ,0 ,,
12,2564 ,1184 ,1380 ,438 ,469 ,0 ,,
13,3295 ,2234 ,1061 ,904 ,837 ,0 ,,
14,2977 ,1679 ,1298 ,512 ,814 ,0 ,,
15,3725 ,2275 ,1450 ,713 ,1064 ,0 ,,
16,3077 ,1996 ,1081 ,709 ,827 ,0 ,,
17,2737 ,1699 ,1038 ,695 ,675 ,0 ,,
18,4015 ,2441 ,1574 ,1123 ,822 ,0 ,,
19,2210 ,2210 ,0 ,889 ,894 ,1 ,,
20,2427 ,1480 ,947 ,488 ,735 ,0 ,,
21,2733 ,1783 ,950 ,632 ,781 ,0 ,,
22,4358 ,2781 ,1577 ,1190 ,1032 ,0 ,,
23,3469 ,2172 ,1297 ,955 ,783 ,0 ,,
24,4745 ,2720 ,2025 ,1317 ,925 ,0 ,,
25,3698 ,2187 ,1511 ,938 ,874 ,0 ,,
26,2449 ,1446 ,1003 ,562 ,644 ,0 ,,
27,2499 ,2498 ,1 ,1020 ,942 ,1 ,,
28,3958 ,2348 ,1610 ,854 ,987 ,0 ,,
29,1845 ,935 ,910 ,351 ,357 ,0 ,,
30,3202 ,2018 ,1184 ,835 ,769 ,0 ,,
31,4410 ,2658 ,1752 ,918 ,1140 ,0 ,,
32,1690 ,996 ,694 ,379 ,406 ,0 ,,
33,2482 ,1457 ,1025 ,513 ,647 ,0 ,,
34,2016 ,1195 ,821 ,573 ,370 ,0 ,,
35,3238 ,1953 ,1285 ,1009 ,580 ,0 ,,
36,1895 ,1894 ,1 ,741 ,758 ,1 ,,
37,3444 ,2075 ,1369 ,1027 ,650 ,0 ,,
38,3552 ,2157 ,1395 ,908 ,793 ,0 ,,
39,3464 ,2155 ,1309 ,916 ,781 ,0 ,,
40,2851 ,1730 ,1121 ,908 ,452 ,0 ,,
41,2881 ,1696 ,1185 ,777 ,524 ,0 ,,
42,2670 ,1627 ,1043 ,843 ,474 ,0 ,,
43,4111 ,2430 ,1681 ,1189 ,742 ,0 ,,
44,4469 ,2439 ,2030 ,689 ,1169 ,0 ,,
45,4232 ,2447 ,1785 ,788 ,1029 ,0 ,,
46,2672 ,2671 ,1 ,1255 ,891 ,1 ,,
47,3763 ,2134 ,1629 ,1014 ,687 ,0 ,,
48,3592 ,2132 ,1460 ,996 ,711 ,0 ,,
49,2998 ,1831 ,1167 ,865 ,612 ,0 ,,
50,3432 ,2113 ,1319 ,914 ,792 ,0 ,,
51,3794 ,2319 ,1475 ,971 ,831 ,0 ,,
52,3942 ,2622 ,1320 ,1096 ,933 ,0 ,,
53,2958 ,2957 ,1 ,1619 ,777 ,1 ,,
54,3134 ,1945 ,1189 ,1016 ,549 ,0 ,,
55,3885 ,2415 ,1470 ,1439 ,559 ,0 ,,
56,2626 ,1432 ,1194 ,892 ,308 ,0 ,,
57,2998 ,1614 ,1384 ,813 ,469 ,0 ,,
58,3497 ,1987 ,1510 ,1112 ,494 ,0 ,,
59,4736 ,2584 ,2152 ,1275 ,815 ,0 ,,
60,4670 ,2595 ,2075 ,1138 ,890 ,0 ,,
