no,n.rv,n.v,n.a,n.w,n.o,ind,winning,opposing
1 ,14290 ,14275 ,15 ,8509 ,4995 ,1 ,DPK,UFP
2 ,6030 ,6026 ,4 ,3431 ,2454 ,1 ,,
3 ,3201 ,1790 ,1411 ,628 ,1098 ,0 ,,
4 ,3185 ,2049 ,1136 ,762 ,1233 ,0 ,,
5 ,3295 ,1921 ,1374 ,854 ,987 ,0 ,,
6 ,3014 ,2136 ,878 ,919 ,1169 ,0 ,,
7 ,1770 ,1306 ,464 ,679 ,584 ,0 ,,
8 ,3553 ,2093 ,1460 ,1109 ,910 ,0 ,,
9 ,3192 ,1990 ,1202 ,979 ,930 ,0 ,,
10 ,2762 ,1636 ,1126 ,836 ,756 ,0 ,,
11 ,5667 ,5666 ,1 ,3240 ,2282 ,1 ,,
12 ,2796 ,1480 ,1316 ,597 ,823 ,0 ,,
13 ,2752 ,1779 ,973 ,617 ,1108 ,0 ,,
14 ,3166 ,1952 ,1214 ,981 ,873 ,0 ,,
15 ,2761 ,2008 ,753 ,763 ,1187 ,0 ,,
16 ,2736 ,1775 ,961 ,824 ,878 ,0 ,,
17 ,2090 ,1350 ,740 ,536 ,772 ,0 ,,
18 ,3090 ,1910 ,1180 ,839 ,989 ,0 ,,
19 ,6318 ,6318 ,0 ,3975 ,2180 ,1 ,,
20 ,3971 ,2099 ,1872 ,911 ,1113 ,0 ,,
21 ,3581 ,2493 ,1088 ,724 ,1711 ,0 ,,
22 ,4374 ,2892 ,1482 ,1241 ,1563 ,0 ,,
23 ,3202 ,2091 ,1111 ,948 ,1080 ,0 ,,
24 ,2667 ,1772 ,895 ,773 ,941 ,0 ,,
25 ,2708 ,1775 ,933 ,957 ,756 ,0 ,,
26 ,1344 ,838 ,506 ,373 ,430 ,0 ,,
27 ,6229 ,6229 ,0 ,3884 ,2193 ,1 ,,
28 ,3607 ,2051 ,1556 ,1017 ,934 ,0 ,,
29 ,3613 ,2288 ,1325 ,1132 ,1057 ,0 ,,
30 ,3406 ,2332 ,1074 ,1184 ,1090 ,0 ,,
31 ,3799 ,2401 ,1398 ,1146 ,1174 ,0 ,,
32 ,3545 ,2347 ,1198 ,1215 ,1060 ,0 ,,
33 ,3545 ,2202 ,1343 ,996 ,1164 ,0 ,,
34 ,3069 ,2001 ,1068 ,905 ,1018 ,0 ,,
35 ,3257 ,2016 ,1241 ,979 ,957 ,0 ,,
36 ,3352 ,2104 ,1248 ,1090 ,917 ,0 ,,
37 ,2757 ,1765 ,992 ,967 ,728 ,0 ,,
38 ,4833 ,4833 ,0 ,3453 ,1234 ,1 ,,
39 ,3225 ,2105 ,1120 ,1229 ,795 ,0 ,,
40 ,2851 ,1744 ,1107 ,941 ,734 ,0 ,,
41 ,2950 ,1820 ,1130 ,1027 ,704 ,0 ,,
42 ,3152 ,1913 ,1239 ,1063 ,767 ,0 ,,
43 ,3235 ,1980 ,1255 ,1221 ,696 ,0 ,,
44 ,2293 ,1482 ,811 ,843 ,576 ,0 ,,
45 ,4862 ,4862 ,0 ,3311 ,1437 ,1 ,,
46 ,2952 ,2016 ,936 ,1064 ,889 ,0 ,,
47 ,4341 ,2645 ,1696 ,1332 ,1242 ,0 ,,
48 ,1935 ,1290 ,645 ,712 ,532 ,0 ,,
49 ,2117 ,1292 ,825 ,751 ,493 ,0 ,,
50 ,3421 ,2060 ,1361 ,1083 ,893 ,0 ,,
51 ,6209 ,6207 ,2 ,3712 ,2370 ,1 ,,
52 ,3114 ,1810 ,1304 ,878 ,863 ,0 ,,
53 ,2976 ,1955 ,1021 ,870 ,1022 ,0 ,,
54 ,2815 ,1626 ,1189 ,760 ,806 ,0 ,,
55 ,3687 ,2422 ,1265 ,1276 ,1069 ,0 ,,
56 ,3085 ,2022 ,1063 ,1058 ,905 ,0 ,,
57 ,3465 ,2391 ,1074 ,1295 ,981 ,0 ,,
