"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",99.987,0.013,0
"Z[2]",97.759,2.241,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",87.598,12.402,0
"Z[8]",80.671,19.329,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",90.758,9.242,0
"Z[12]",100,0,0
"Z[13]",93.901,6.099,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",90,10,0
"Z[17]",89.999,10.001,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",74.211,25.789,0
"Z[22]",42.015,57.985,0
"Z[23]",94.048,5.952,0
"Z[24]",100,0,0
"Z[25]",98.975,1.025,0
"Z[26]",100,0,0
"Z[27]",100,0,0
"Z[28]",100,0,0
"Z[29]",95.984,4.016,0
"Z[30]",99.147,0.853,0
"Z[31]",97.639,2.361,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",96.609,3.391,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",100,0,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",99.188,0.812,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",99.978,0.022,0
"Z[52]",99.109,0.891,0
"Z[53]",100,0,0
"Z[54]",100,0,0
"Z[55]",100,0,0
"Z[56]",100,0,0
"Z[57]",100,0,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
"Z[61]",100,0,0
"Z[62]",99.274,0.726,0
"Z[63]",100,0,0
"Z[64]",100,0,0
"Z[65]",100,0,0
"Z[66]",98.318,1.682,0
"Z[67]",98.642,1.358,0
"Z[68]",100,0,0
"Z[69]",100,0,0
