"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",4.1503e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.504561e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.006708852837,0,0,0,0,0,0,0,0,0,0,0,0,0.273321249999998,0.001959813478,0,0,0,0,0,0,0,0,0,0,0,0,0.0919727
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.041563353589,0,0.376974,0,0,0,0,0,0,0,0.200748,0.376974,0.475894,0.539069,0.0161650625405,0,0.140482,0,0,0,0,0,0,0,0.0939318,0.140482,0.166251,0.189526
"8",0.030593790424,0,0.215221,0,0,0,0,0,0,0,0.147945,0.215221,0.252055,0.284323,0.036704380079,0,0.264536,0,0,0,0,0,0,0,0.17656,0.264536,0.291933,0.313546
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.016202998546,0,0.173756,0,0,0,0,0,0,0,0,0.173756,0.206754,0.230987,0.008313263827,0,0.0848157,0,0,0,0,0,0,0,0,0.0848157,0.108533,0.129673
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0.020785524875,0,0.201493,0,0,0,0,0,0,0,0,0.201493,0.350006224999999,0.545025,0.007272572414,0,0.0761194,0,0,0,0,0,0,0,0,0.0761194,0.129602,0.163682
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0.025522598959,0,0.255375,0,0,0,0,0,0,0,0.0073615600004285,0.255375,0.29544,0.329967,0.01266995108,0,0.11987,0,0,0,0,0,0,0,0.00182410000010618,0.11987,0.155049,0.194137
"17",0.01190560086,0,0.106826,0,0,0,0,0,0,0,0.0294154000000018,0.106826,0.156413,0.197735,0.024279166973,0,0.253137,0,0,0,0,0,0,0,0.0579430300000053,0.253137,0.284665,0.306706059999998
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0.0374335083786,0,0.245818,0,0,0,0,0,0,0.0227695,0.157993,0.245818,0.29461,0.34619,0.058259587164,0,0.301115,0,0,0,0,0,0,0.0780669,0.271375,0.301115,0.322026,0.343401
"22",0.1438115731943,0,0.515214,0,0,0,0,0,0.0608561,0.254771,0.467251,0.515214,0.549768,0.57246,0.146823605737,0,0.431666,0,0,0,0,0,0.103146,0.287777,0.383703,0.431666,0.454874,0.475503
"23",0.010979775962,0,0.112859,0,0,0,0,0,0,0,0,0.112859,0.198185,0.255673,0.007784574534,0,0.0850227,0,0,0,0,0,0,0,0,0.0850227,0.130106,0.175189
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0.003138202616,0,0,0,0,0,0,0,0,0,0,0,0,0.101595389999997,0.001039062278,0,0,0,0,0,0,0,0,0,0,0,0,0.0317974
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0.005551625666,0,0,0,0,0,0,0,0,0,0,0,0.124162674999998,0.164413,0.003646530214,0,0,0,0,0,0,0,0,0,0,0,0.0811309,0.106023
"30",0.001278745722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000777277462,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0.00861754929,0,0,0,0,0,0,0,0,0,0,0,0,0.410165,0.0021654015914,0,0,0,0,0,0,0,0,0,0,0,0,0.0996848
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0.013020677618,0,0,0,0,0,0,0,0,0,0,0,0.262699874999998,0.474818979999999,0.003184540631,0,0,0,0,0,0,0,0,0,0,0,0.0711041,0.112186
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0.00351247365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000513693212,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1.4517884e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3992757e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0.00482811196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003965173,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0.00353723197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000404626282,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0.002790479724,0,0,0,0,0,0,0,0,0,0,0,0,0.152643,0.001224513263,0,0,0,0,0,0,0,0,0,0,0,0,0.066064
"67",0.002127732811,0,0,0,0,0,0,0,0,0,0,0,0,0.128709489999998,0.001081653328,0,0,0,0,0,0,0,0,0,0,0,0,0.0624346
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
