"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",70,30,0
"Z[2]",37.135,62.865,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",65.54,34.46,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",95.54,4.46,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",56.85,43.15,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",40.845,59.155,0
"Z[25]",100,0,0
"Z[26]",100,0,0
"Z[27]",100,0,0
"Z[28]",67.74,32.26,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",44.325,55.675,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",100,0,0
"Z[39]",40,60,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",20.4,79.6,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",29.475,70.525,0
"Z[51]",100,0,0
"Z[52]",100,0,0
"Z[53]",100,0,0
"Z[54]",100,0,0
"Z[55]",100,0,0
"Z[56]",36.385,63.615,0
"Z[57]",99.995,0.005,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
"Z[61]",39.16,60.84,0
"Z[62]",90,10,0
"Z[63]",100,0,0
"Z[64]",100,0,0
"Z[65]",100,0,0
