"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",30,70,0
"Z[2]",33.309,66.691,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",11.699,88.301,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",30.419,69.581,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",10,90,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",100,0,0
"Z[27]",7.657,92.343,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",13.229,86.771,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",70,30,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",19.93,80.07,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",100,0,0
