"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",99.544,0.456,0
"Z[2]",99.456,0.544,0
"Z[3]",99.963,0.037,0
"Z[4]",99.996,0.004,0
"Z[5]",99.838,0.162,0
"Z[6]",99.771,0.229,0
"Z[7]",99.92,0.08,0
"Z[8]",98.661,1.339,0
"Z[9]",100,0,0
"Z[10]",99.959,0.041,0
"Z[11]",99.899,0.101,0
"Z[12]",99.993,0.007,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",99.849,0.151,0
"Z[16]",99.946,0.054,0
"Z[17]",99.991,0.009,0
"Z[18]",99.988,0.012,0
"Z[19]",99.926,0.074,0
"Z[20]",99.993,0.007,0
"Z[21]",99.977,0.023,0
"Z[22]",99.898,0.102,0
"Z[23]",99.974,0.026,0
"Z[24]",99.998,0.002,0
"Z[25]",99.898,0.102,0
"Z[26]",99.991,0.009,0
"Z[27]",99.977,0.023,0
"Z[28]",100,0,0
"Z[29]",98.745,1.255,0
"Z[30]",99.999,0.001,0
"Z[31]",99.993,0.007,0
"Z[32]",99.884,0.116,0
"Z[33]",99.974,0.026,0
"Z[34]",99.682,0.318,0
"Z[35]",99.993,0.007,0
"Z[36]",100,0,0
"Z[37]",99.858,0.142,0
"Z[38]",99.993,0.007,0
"Z[39]",100,0,0
"Z[40]",99.99,0.01,0
"Z[41]",100,0,0
"Z[42]",99.982,0.018,0
"Z[43]",99.963,0.037,0
"Z[44]",47.586,52.414,0
"Z[45]",98.913,1.087,0
"Z[46]",99.543,0.457,0
"Z[47]",99.922,0.078,0
"Z[48]",99.815,0.185,0
"Z[49]",99.784,0.216,0
"Z[50]",99.917,0.083,0
