"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",0.002287484266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000456710978,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0016882625844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000602012192,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3.8570639e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7994994e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",5.29327e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.306156e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1.78893667e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190169171,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2.9350439e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332127343,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7.9539055e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6368736e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.0057927520096,0,0,0,0,0,0,0,0,0,0,0,0,0.382421,0.001813285746,0,0,0,0,0,0,0,0,0,0,0,0,0.105384
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",8.349912e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5555897e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1.04379364e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115072536,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",7.52114e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,5.825764e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
