"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",99.591,0.409,0
"Z[2]",97.759,2.241,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",99.078,0.922,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",98.821,1.179,0
"Z[10]",100,0,0
"Z[11]",98.39,1.61,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",99.625,0.375,0
"Z[16]",100,0,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",98.973,1.027,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",99.117,0.883,0
"Z[25]",100,0,0
"Z[26]",100,0,0
"Z[27]",98.284,1.716,0
"Z[28]",100,0,0
"Z[29]",97.7,2.3,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",98.692,1.308,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",89.582,10.418,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",91.263,8.737,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",93.044,6.956,0
"Z[45]",99.996,0.004,0
"Z[46]",100,0,0
"Z[47]",87.615,12.385,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",99.772,0.228,0
"Z[51]",97.434,2.566,0
"Z[52]",100,0,0
"Z[53]",100,0,0
"Z[54]",97.322,2.678,0
"Z[55]",100,0,0
"Z[56]",100,0,0
"Z[57]",94.695,5.305,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
