"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",0.00196042669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000242767819,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.01061261321,0,0,0,0,0,0,0,0,0,0,0,0,0.509582,0.0025549741106,0,0,0,0,0,0,0,0,0,0,0,0,0.116725
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.00423927231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744475574,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.005713665587,0,0,0,0,0,0,0,0,0,0,0,0,0.348754,0.0011307829312,0,0,0,0,0,0,0,0,0,0,0,0,0.0462988879999814
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.007678536579,0,0,0,0,0,0,0,0,0,0,0,0,0.460705,0.0016884413307,0,0,0,0,0,0,0,0,0,0,0,0,0.0758808
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0.00180313935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002507987672,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0.004936393202,0,0,0,0,0,0,0,0,0,0,0,0,0.192799149999952,0.0009360156848,0,0,0,0,0,0,0,0,0,0,0,0,0.0260417
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0.004270170495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007639488832,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0.008050692964,0,0,0,0,0,0,0,0,0,0,0,0,0.470297,0.0017384490986,0,0,0,0,0,0,0,0,0,0,0,0,0.0808581
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0.010947929673,0,0,0,0,0,0,0,0,0,0,0,0,0.522807,0.0024993684623,0,0,0,0,0,0,0,0,0,0,0,0,0.107018
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0.006346189396,0,0,0,0,0,0,0,0,0,0,0,0,0.423158,0.0011226737125,0,0,0,0,0,0,0,0,0,0,0,0,0.0547368
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0.050252299945,0,0.517835,0,0,0,0,0,0,0,0.204182,0.517835,0.568266,0.606396,0.019008989866,0,0.179582,0,0,0,0,0,0,0,0.0553506,0.179582,0.238622,0.311193
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0.044145956171,0,0.525752,0,0,0,0,0,0,0,0,0.525752,0.579296,0.621112,0.0140360532279,0,0.145334,0,0,0,0,0,0,0,0,0.145334,0.202448,0.243243
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0.032535403462,0,0.407018,0,0,0,0,0,0,0,0,0.407018,0.536842,0.596491,0.0114089816364,0,0.108772,0,0,0,0,0,0,0,0,0.108772,0.192982,0.245614
"45",1.646458e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.752394e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0.05639946575,0,0.518024,0,0,0,0,0,0,0,0.333778,0.518024,0.568758,0.610147,0.021665647965,0,0.193591,0,0,0,0,0,0,0,0.108144,0.193591,0.23498,0.275033
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0.000225765832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232610589,0,0,0,0,0,0,0,0,0,0,0,0,0
