"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",50,50,0
"Z[2]",55.452,44.548,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",96.262,3.738,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",66.455,33.545,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",5.803,94.197,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",6.334,93.666,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",24.544,75.456,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",54.431,45.569,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",3.444,96.556,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",100,0,0
"Z[27]",6.597,93.403,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",40,60,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",27.55,72.45,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",10.095,89.905,0
"Z[45]",100,0,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",0,100,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",100,0,0
"Z[52]",100,0,0
"Z[53]",3.234,96.766,0
"Z[54]",100,0,0
"Z[55]",100,0,0
"Z[56]",100,0,0
"Z[57]",7.251,92.749,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
"Z[61]",10.769,89.231,0
"Z[62]",100,0,0
"Z[63]",100,0,0
"Z[64]",100,0,0
"Z[65]",100,0,0
"Z[66]",10,90,0
"Z[67]",100,0,0
"Z[68]",100,0,0
"Z[69]",100,0,0
"Z[70]",100,0,0
"Z[71]",100,0,0
"Z[72]",32.188,67.812,0
"Z[73]",100,0,0
"Z[74]",100,0,0
"Z[75]",100,0,0
"Z[76]",100,0,0
"Z[77]",59.927,40.073,0
"Z[78]",100,0,0
"Z[79]",100,0,0
"Z[80]",100,0,0
"Z[81]",100,0,0
"Z[82]",100,0,0
"Z[83]",100,0,0
