"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",0.29756482291,0,0.669491,0,0,0,0,0,0.0816185,0.622206,0.65658,0.669491,0.678044,0.684741,0.12999665921,0,0.310336,0,0,0,0,0,0.060639,0.260712,0.294682,0.310336,0.322846,0.336803
"2",0.26988178567,0,0.679245,0,0,0,0,0,0,0.613208,0.660377,0.679245,0.691038,0.705189,0.106999576554,0,0.292453,0,0,0,0,0,0,0.235849,0.273585,0.292453,0.306604,0.323113
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.02231779555,0,0,0,0,0,0,0,0,0,0,0,0.572683,0.650732,0.007066175671,0,0,0,0,0,0,0,0,0,0,0,0.170732,0.221463
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.20092142275,0,0.671875,0,0,0,0,0,0,0.573438,0.651563,0.671875,0.684375,0.698438,0.07824662898,0,0.276562,0,0,0,0,0,0,0.207813,0.25625,0.276562,0.290625,0.30625
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.5658885569,0,0.684632,0,0,0,0.415149,0.555717,0.619082,0.654042,0.675164,0.684632,0.691916,0.699927,0.25054531691,0,0.331391,0,0,0,0.19665,0.232338,0.263656,0.291333,0.316096,0.331391,0.344501,0.360524
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.56046083619,0,0.684991,0,0,0,0.390925,0.549738,0.616056,0.653578,0.675393,0.684991,0.692845,0.701571,0.24828078137,0,0.330716,0,0,0,0.191972,0.230366,0.26178,0.290576,0.315881,0.330716,0.34555,0.362129
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0.453672755292,0,0.686703,0,0,0,0,0.289617,0.593807,0.64663,0.673953,0.686703,0.697632,0.708561,0.191835812842,0,0.315118,0,0,0,0,0.129326,0.238616,0.273224,0.300546,0.315118,0.32969,0.346084
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0.27538878106,0,0.68018,0,0,0,0,0,0,0.617117,0.662162,0.68018,0.691441,0.704955,0.109768351936,0,0.290541,0,0,0,0,0,0,0.238739,0.274775,0.290541,0.304054,0.31982
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0.57573669507,0.334946,0.706167,0,0,0.339782,0.445586,0.555018,0.617896,0.652358,0.672914,0.682588,0.689843,0.696493,0.253856449622,0.157195,0.362152,0,0,0.172914,0.203144,0.232769,0.26179,0.288392,0.31318,0.32769,0.340387,0.35792
