"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",89.083,10.917,0
"Z[2]",98.42,1.58,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",97.519,2.481,0
"Z[10]",100,0,0
"Z[11]",99.825,0.175,0
"Z[12]",99.998,0.002,0
"Z[13]",99.92,0.08,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",99.995,0.005,0
"Z[18]",99.835,0.165,0
"Z[19]",100,0,0
"Z[20]",99.888,0.112,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",99.951,0.049,0
"Z[26]",94.106,5.894,0
"Z[27]",100,0,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",100,0,0
"Z[33]",99.586,0.414,0
"Z[34]",99.997,0.003,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",100,0,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",99.377,0.623,0
"Z[42]",99.998,0.002,0
"Z[43]",100,0,0
"Z[44]",99.989,0.011,0
"Z[45]",100,0,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",99.929,0.071,0
"Z[51]",100,0,0
"Z[52]",100,0,0
