"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",0.04977591797,0,0.458946,0,0,0,0,0,0,0,0.3289949,0.458946,0.518864724999999,0.558946,0.010552125305,0,0.0981969,0,0,0,0,0,0,0,0.0448682,0.0981310649999992,0.12233,0.14403669
"2",0.01709849771,0,0,0,0,0,0,0,0,0,0,0,0.400787,0.469138,0.001939001644,0,0,0,0,0,0,0,0,0,0,0,0.0403894,0.0619304
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.03647061661,0,0.407284,0,0,0,0,0,0,0,0,0.407284,0.449487399999999,0.498161,0.0063262268956,0,0.0647873,0,0,0,0,0,0,0,0,0.0647873,0.086854277499999,0.120470749999999
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0.05890890375,0,0.448094,0,0,0,0,0,0,0,0.383424,0.448094,0.488257,0.528931,0.01721366772,0,0.147209,0,0,0,0,0,0,0,0.0655208,0.147047499999998,0.198094,0.241151709999999
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0.093002308633,0,0.396067,0,0,0,0,0,0,0.211195,0.357337,0.396067,0.424206,0.455673,0.0508252490047,0,0.261422,0,0,0,0,0,0,0.0571861,0.224508,0.261422,0.292284,0.321634
"21",0.115780435027,0,0.397416,0,0,0,0,0,0,0.260767,0.353563,0.397416,0.423649,0.450274,0.103585007735,0,0.371182,0,0,0,0,0,0,0.218481,0.330462,0.371182,0.398982,0.429131
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0.062049727017,0,0.401984,0,0,0,0,0,0,0,0.31885,0.401984,0.428669,0.451933,0.034404311508,0,0.237427,0,0,0,0,0,0,0,0.175505,0.237427,0.266165,0.293192
"24",0.09598738884,0,0.461429,0,0,0,0,0,0,0.180238,0.407619,0.461429,0.503571,0.542619,0.04795199976,0,0.310714,0,0,0,0,0,0,0.0204762,0.213333,0.310487899999997,0.344286,0.376667
"25",0.160797573368,0,0.471852,0,0,0,0,0,0,0.354963,0.434895,0.471852,0.501074,0.526859,0.0777854463346,0,0.284916,0,0,0,0,0,0,0.157284,0.247959,0.284916,0.319295,0.354534
"26",0.081186675112,0,0.415699,0,0,0,0,0,0,0,0.364835,0.415699,0.451491,0.485714,0.051011965795,0,0.26876,0,0,0,0,0,0,0,0.208163,0.26876,0.335322,0.422606
"27",0.176995560963,0,0.463983,0,0,0,0,0,0.03072035,0.361582,0.432203,0.463983,0.488701,0.511653,0.107122967425,0,0.354167,0,0,0,0,0,0.00776835,0.19209,0.297316,0.354167,0.401483,0.44774
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0.012467300456,0,0,0,0,0,0,0,0,0,0,0,0.359475424999999,0.466257759999999,0.0012389497814,0,0,0,0,0,0,0,0,0,0,0,0.0213216,0.0474009
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0.020579932391,0,0.211565,0,0,0,0,0,0,0,0.00282313000016433,0.211565,0.257143,0.285034,0.016905757828,0,0.171429,0,0,0,0,0,0,0,0.00207483000012077,0.171429,0.210884,0.243537
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0.07689538025,0,0.438375,0,0,0,0,0,0,0,0.384615,0.438375,0.481417,0.518928,0.0280387808915,0,0.189974,0,0,0,0,0,0,0,0.14382,0.189974,0.21694,0.243561
"39",0.09826001908,0,0.401745,0,0,0,0,0,0,0.254362,0.366391,0.401745,0.427916,0.455005,0.0396326074342,0,0.205234,0,0,0,0,0,0,0.0541781,0.161157,0.205234,0.241047,0.270432
"40",0.096336162817,0,0.444193,0,0,0,0,0,0,0.161436,0.401812,0.444193,0.474927,0.500485,0.050227634867,0,0.332578,0,0,0,0,0,0,0.0501456,0.2132,0.332578,0.372695,0.406988
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0.105010287999,0,0.423239,0,0,0,0,0,0,0.278873,0.389789,0.423239,0.451761,0.480282,0.0409287279812,0,0.208451,0,0,0,0,0,0,0.0545775,0.165493,0.208451,0.251769799999998,0.285563
"43",0.102531160811,0,0.414506,0,0,0,0,0,0,0.269774,0.380046,0.414506,0.443059,0.477847,0.0397292962104,0,0.202822,0,0,0,0,0,0,0.0538234,0.162455,0.202822,0.238924,0.27043
"44",0.033125588374,0,0.332343,0,0,0,0,0,0,0,0.00738953000043013,0.332343,0.370219,0.415522,0.014076262369,0,0.139993,0,0,0,0,0,0,0,0.00311920000018156,0.139993,0.160787,0.179728719999998
"45",0.04020298481,0,0.404714,0,0,0,0,0,0,0,0.0199203000011595,0.404714,0.444887,0.478088,0.006375734632,0,0.060093,0,0,0,0,0,0,0,0.00102922000005991,0.060093,0.0810093,0.103921319999998
"46",0.098554680575,0,0.449692,0,0,0,0,0,0,0.211116,0.398946,0.449692,0.497803,0.546575199999999,0.0405922869076,0,0.218805,0,0,0,0,0,0,0.0481107,0.171134,0.218805,0.25,0.276142
"47",0.046199975618,0,0.274592,0,0,0,0,0,0,0,0.2331,0.274592,0.309091,0.351049,0.057939798264,0,0.337529,0,0,0,0,0,0,0,0.285781,0.337529,0.373893,0.410260669999998
"48",0.135762800813,0,0.414832,0,0,0,0,0,0,0.330511,0.393498,0.414832,0.429055,0.442601,0.0532586929756,0,0.225872,0,0,0,0,0,0,0.10032175,0.178801,0.225549949999996,0.262445,0.2936
"49",0.171726821128,0,0.471218,0,0,0,0,0,0,0.357876,0.434181,0.471218,0.499777,0.529228,0.0869995857879,0,0.33378,0,0,0,0,0,0,0.151718,0.275324,0.33378,0.378402,0.422133
"50",0.234669529718,0,0.518868,0,0,0,0,0,0.248428,0.394654,0.477987,0.518868,0.550839,0.578616,0.1646888579518,0,0.460168,0,0,0,0,0,0.134696,0.27935,0.401992,0.460168,0.505765,0.54979
"51",0.142810713077,0,0.451613,0,0,0,0,0,0,0.297235,0.40948,0.451613,0.478604,0.504279,0.107122298342,0,0.359118,0,0,0,0,0,0,0.213627,0.296906,0.359118,0.396643,0.430217
"52",0.130224304626,0,0.456364,0,0,0,0,0,0,0.3044915,0.411665,0.456364,0.493401,0.524904,0.0743459132976,0,0.336313,0,0,0,0,0,0,0.138357,0.270370600000003,0.336313,0.381865,0.422307
"53",0.064072600499,0,0.375568,0,0,0,0,0,0,0,0.326766,0.375568,0.405577,0.433768,0.0368437135,0,0.228857,0,0,0,0,0,0,0,0.178842,0.228857,0.260079,0.290088
"54",0.03936176321,0,0.401191,0,0,0,0,0,0,0,0.0173235000010084,0.401191,0.428409,0.452226,0.011738848687,0,0.11738,0,0,0,0,0,0,0,0.00164446000009572,0.11738,0.143181,0.175505839999999
"55",0.172985251872,0,0.482822,0,0,0,0,0,0.1266445,0.342471,0.436769,0.482822,0.518275,0.552997,0.1047023467745,0,0.32383,0,0,0,0,0,0.03709795,0.201754,0.28326,0.32383,0.363304,0.396564
"56",0.26313060336,0,0.523294,0,0,0,0,0.10794,0.286417,0.416667,0.493766,0.523294,0.543635,0.562992,0.2045212832373,0,0.497703,0,0,0,0,0.0285433,0.191273,0.341207,0.444914800000002,0.497703,0.541995,0.576115
"57",0.11241109774,0,0.411225,0,0,0,0,0,0,0.239322,0.356513,0.411225,0.448641,0.483233,0.098764631087,0,0.371338,0,0,0,0,0,0,0.205789,0.304624,0.371002649999996,0.422873,0.472644
