"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",40,60,0
"Z[2]",19.054,80.946,0
"Z[3]",100,0,0
"Z[4]",99.993,0.007,0
"Z[5]",100,0,0
"Z[6]",13.963,86.037,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",24.611,75.389,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",14.69,85.31,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",35.008,64.992,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",100,0,0
"Z[27]",100,0,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",90,10,0
"Z[31]",40.278,59.722,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",99.999,0.001,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",40.223,59.777,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",26.821,73.179,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",28.962,71.038,0
"Z[52]",99.905,0.095,0
"Z[53]",100,0,0
"Z[54]",100,0,0
"Z[55]",100,0,0
"Z[56]",100,0,0
"Z[57]",100,0,0
"Z[58]",100,0,0
"Z[59]",19.564,80.436,0
"Z[60]",100,0,0
"Z[61]",100,0,0
"Z[62]",100,0,0
"Z[63]",100,0,0
"Z[64]",90,10,0
