"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",100,0,0
"Z[2]",63.31,36.69,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",99.965,0.035,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",96.655,3.345,0
"Z[9]",100,0,0
"Z[10]",99.995,0.005,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",96.415,3.585,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",96.8,3.2,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",48.44,51.56,0
"Z[25]",100,0,0
"Z[26]",100,0,0
"Z[27]",100,0,0
"Z[28]",95.74,4.26,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",99.39,0.61,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",100,0,0
"Z[39]",99.425,0.575,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",100,0,0
"Z[52]",100,0,0
"Z[53]",100,0,0
"Z[54]",99.87,0.13,0
"Z[55]",100,0,0
"Z[56]",100,0,0
"Z[57]",100,0,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
"Z[61]",100,0,0
"Z[62]",100,0,0
