"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",0.27461869,0,0.607158,0,0,0,0,0,0.366042,0.462588,0.5751224,0.6070782,0.620893075,0.63320884,0.1467751371,0,0.290886,0,0,0,0,0,0.213067,0.252518,0.276238,0.29080715,0.30129,0.320358319999999
"2",0.2062514901,0,0.632922,0,0,0,0,0,0,0.529001,0.612782,0.63266645,0.645548724999999,0.65628668,0.094789661035,0,0.280881,0,0,0,0,0,0,0.226168,0.264232,0.280881,0.292427,0.304511
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.2728350373,0,0.630917,0,0,0,0,0,0.067799,0.570741,0.614603,0.630917,0.641615,0.65204867,0.10852675765,0,0.266381,0,0,0,0,0,0.0381118,0.220647,0.251137,0.266381,0.278952,0.291522
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.4499504793,0,0.631003,0,0,0,0.2842157,0.366172,0.47846,0.581215,0.616172,0.631003,0.643715,0.65678,0.226470337895,0,0.314619,0,0,0,0.153249,0.210099,0.23976,0.268008,0.294845,0.314619,0.335452,0.356285
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0.35378903475,0,0.63968,0,0,0,0,0,0.436103,0.579666,0.623441,0.63968,0.652864899999999,0.664627,0.174210663215,0,0.31325,0,0,0,0,0,0.226406,0.26265,0.293504500000001,0.31325,0.340320899999999,0.381972
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0.2849552729,0,0.62313,0,0,0,0,0,0.35016,0.533654,0.603365,0.62313,0.639957,0.65625,0.12313034346,0,0.272436,0,0,0,0,0,0.156784,0.226496,0.256944,0.272436,0.284455,0.300481
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0.44915737527,0.223193,0.665546,0,0,0.2305712,0.2887054,0.354286,0.458151,0.577479,0.615798,0.630588,0.642689,0.65479,0.25972571335,0.13916,0.391597,0,0,0.16,0.198655,0.23395,0.264202,0.297143,0.329076,0.350252,0.372101,0.397311
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0.3041626028,0,0.632799,0,0,0,0,0,0.36942,0.575586,0.61529,0.632799,0.647842,0.66116147,0.1513361756,0,0.307768,0,0,0,0,0,0.212577,0.259433,0.290752,0.307768,0.323311149999999,0.348216929999999
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
