"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",99.705,0.295,0
"Z[2]",97.73,2.27,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",98.61,1.39,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",100,0,0
"Z[10]",100,0,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",96.74,3.26,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",97.245,2.755,0
"Z[18]",100,0,0
"Z[19]",100,0,0
"Z[20]",77.9,22.1,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",96.34,3.66,0
"Z[24]",100,0,0
"Z[25]",93.105,6.895,0
"Z[26]",100,0,0
"Z[27]",100,0,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",97.835,2.165,0
"Z[31]",100,0,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",98.54,1.46,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",100,0,0
"Z[39]",99.665,0.335,0
"Z[40]",100,0,0
"Z[41]",100,0,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",99.4,0.6,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",100,0,0
"Z[51]",97.69,2.31,0
"Z[52]",100,0,0
"Z[53]",100,0,0
"Z[54]",100,0,0
