"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",0.1256130743,0,0.495778,0,0,0,0,0,0,0.330642,0.46921,0.495778,0.511374525,0.533748,0.05740545103,0,0.249522,0,0,0,0,0,0,0.1293995,0.2280772,0.249522,0.26209855,0.275966
"2",0.22757326157,0,0.543405,0,0,0,0,0,0.212722,0.407456,0.512513,0.543405,0.571429,0.596976,0.143793153405,0,0.342284,0,0,0,0,0,0.153415,0.245959,0.319226,0.342284,0.366528,0.398462
"3",0.01168848808,0,0.116398,0,0,0,0,0,0,0,0.00368168000008036,0.1161282,0.139054,0.161144,0.01378799247,0,0.13254,0,0,0,0,0,0,0,0.00495610000010818,0.13254,0.174172,0.203059
"4",0.008666066345,0,0.0937946,0,0,0,0,0,0,0,0,0.0937946,0.134094,0.171900569999999,0.00862196891,0,0.0966476,0,0,0,0,0,0,0,0,0.0966476,0.128745,0.153709
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.01440036407,0,0.134887,0,0,0,0,0,0,0,0.00213985000004671,0.134887,0.172726549999999,0.223545649999999,0.02106570505,0,0.208636,0,0,0,0,0,0,0,0.0129156000002819,0.2082731,0.233473,0.256018
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.15728864543,0,0.547098,0,0,0,0,0,0,0.336188,0.499207,0.547098,0.568506,0.582144,0.10413140917,0,0.350936,0,0,0,0,0,0,0.231526,0.315255,0.35078495,0.39058,0.420393
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0.016212414975,0,0.161049,0,0,0,0,0,0,0,0.0044943800000981,0.161049,0.188336,0.214023349999999,0.013383790815,0,0.137507,0,0,0,0,0,0,0,0.00187266000004088,0.137507,0.169074,0.191546
"14",0.01461205943,0,0.163095,0,0,0,0,0,0,0,0,0.163095,0.224846,0.320022259999999,0.009088412315,0,0.101707,0,0,0,0,0,0,0,0,0.101707,0.149292,0.183076629999999
"15",0.012790480875,0,0.151343,0,0,0,0,0,0,0,0,0.151343,0.206265,0.251831,0.008158706005,0,0.0939788,0,0,0,0,0,0,0,0,0.0939788,0.132628,0.166395
"16",0.02526921345,0,0.253135,0,0,0,0,0,0,0,0.0168756000003684,0.253135,0.273128,0.292104,0.0208445769,0,0.21247,0,0,0,0,0,0,0,0.0104371000002278,0.21247,0.237208,0.25754
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0.00208612101,0,0,0,0,0,0,0,0,0,0,0,0,0.104831,0.00333169985,0,0,0,0,0,0,0,0,0,0,0,0,0.181404
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0.1497794323,0,0.464383,0,0,0,0,0,0,0.340444,0.418005,0.464383,0.496972775,0.52303852,0.095925728275,0,0.300697,0,0,0,0,0,0,0.218551,0.273113,0.300697,0.316611,0.331616
"22",0.02349541585,0,0.235327,0,0,0,0,0,0,0,0.0111235000002428,0.23479595,0.258804,0.274455,0.0206781173,0,0.208496,0,0,0,0,0,0,0,0.0100615000002196,0.208496,0.230855,0.252655
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0.22932721214,0,0.546584,0,0,0,0,0,0.268634,0.415761,0.513975,0.546584,0.564829,0.588509,0.14551477179,0,0.338509,0,0,0,0,0,0.180512,0.260481,0.314053,0.338509,0.357152699999999,0.386646
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0.000115416665,0,0,0,0,0,0,0,0,0,0,0,0,0,7.681818e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0.2052393516,0,0.543032,0,0,0,0,0,0.096984,0.398596,0.50832,0.5429085,0.563573,0.586453,0.13545198495,0,0.351924,0,0,0,0,0,0.0627925,0.26235,0.322803,0.351924,0.382484749999999,0.4092573
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
