"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",70,30,0
"Z[2]",70.01,29.99,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",96.025,3.975,0
"Z[7]",99.485,0.515,0
"Z[8]",99.495,0.505,0
"Z[9]",89.915,10.085,0
"Z[10]",98.22,1.78,0
"Z[11]",58.135,41.865,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",98.845,1.155,0
"Z[15]",100,0,0
"Z[16]",96.175,3.825,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",50.69,49.31,0
"Z[20]",99.33,0.67,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",99.705,0.295,0
"Z[25]",85.285,14.715,0
"Z[26]",99.23,0.77,0
"Z[27]",63.59,36.41,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",96.165,3.835,0
"Z[31]",100,0,0
"Z[32]",98.965,1.035,0
"Z[33]",100,0,0
"Z[34]",100,0,0
"Z[35]",94.855,5.145,0
"Z[36]",98.09,1.91,0
"Z[37]",74.78,25.22,0
"Z[38]",3.315,96.685,0
"Z[39]",95.52,4.48,0
"Z[40]",91.78,8.22,0
"Z[41]",88.985,11.015,0
"Z[42]",97.11,2.89,0
"Z[43]",85.975,14.025,0
"Z[44]",86.58,13.42,0
"Z[45]",30.7,69.3,0
"Z[46]",92.915,7.085,0
"Z[47]",90,10,0
"Z[48]",98.7,1.3,0
"Z[49]",86.21,13.79,0
"Z[50]",99.27,0.73,0
"Z[51]",60,40,0
"Z[52]",89.975,10.025,0
"Z[53]",89.465,10.535,0
"Z[54]",99.985,0.015,0
"Z[55]",95.34,4.66,0
"Z[56]",99.77,0.23,0
"Z[57]",90,10,0
