"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",90,10,0
"Z[2]",99.968,0.032,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",99.343,0.657,0
"Z[8]",100,0,0
"Z[9]",96.828,3.172,0
"Z[10]",100,0,0
"Z[11]",100,0,0
"Z[12]",99.678,0.322,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",99.934,0.066,0
"Z[16]",99.996,0.004,0
"Z[17]",100,0,0
"Z[18]",100,0,0
"Z[19]",97.165,2.835,0
"Z[20]",100,0,0
"Z[21]",100,0,0
"Z[22]",99.42,0.58,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",99.209,0.791,0
"Z[27]",100,0,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",99.778,0.222,0
"Z[31]",100,0,0
"Z[32]",100,0,0
"Z[33]",100,0,0
"Z[34]",99.038,0.962,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",97.621,2.379,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",99.608,0.392,0
"Z[42]",89.998,10.002,0
"Z[43]",100,0,0
"Z[44]",88.47,11.53,0
"Z[45]",70,30,0
"Z[46]",100,0,0
"Z[47]",70,30,0
"Z[48]",99.994,0.006,0
"Z[49]",66.282,33.718,0
"Z[50]",99.246,0.754,0
"Z[51]",100,0,0
"Z[52]",100,0,0
"Z[53]",100,0,0
"Z[54]",98.479,1.521,0
"Z[55]",100,0,0
"Z[56]",100,0,0
"Z[57]",99.411,0.589,0
"Z[58]",100,0,0
"Z[59]",100,0,0
"Z[60]",100,0,0
"Z[61]",93.041,6.959,0
"Z[62]",99.999,0.001,0
"Z[63]",100,0,0
"Z[64]",79.996,20.004,0
"Z[65]",99.982,0.018,0
"Z[66]",100,0,0
"Z[67]",98.279,1.721,0
"Z[68]",100,0,0
"Z[69]",100,0,0
"Z[70]",20.056,79.944,0
"Z[71]",100,0,0
"Z[72]",98.701,1.299,0
"Z[73]",100,0,0
"Z[74]",100,0,0
"Z[75]",100,0,0
"Z[76]",100,0,0
