"","Manufactured.Mean","Manufactured.95.HPDLow","Manufactured.95.HPDHigh","Manufactured.Q1.","Manufactured.Q2.5.","Manufactured.Q5.","Manufactured.Q10.","Manufactured.Q25.","Manufactured.Q50.","Manufactured.Q75.","Manufactured.Q90.","Manufactured.Q95.","Manufactured.Q97.5.","Manufactured.Q99.","Stolen.Mean","Stolen.95.HPDLow","Stolen.95.HPDHigh","Stolen.Q1.","Stolen.Q2.5.","Stolen.Q5.","Stolen.Q10.","Stolen.Q25.","Stolen.Q50.","Stolen.Q75.","Stolen.Q90.","Stolen.Q95.","Stolen.Q97.5.","Stolen.Q99."
"1",0.03389138004,0,0.313496,0,0,0,0,0,0,0,0.0104547000006085,0.313496,0.4412128,0.507820449999999,0.009159638285,0,0.0904286,0,0,0,0,0,0,0,0.00393136000022884,0.0904286,0.106285825,0.121633
"2",0.00012265864,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2483069e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.00225116289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000660312853,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.003186873959,0,0,0,0,0,0,0,0,0,0,0,0.0827169,0.110289,0.007704552651,0,0,0,0,0,0,0,0,0,0,0,0.206456,0.26967
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.001119536654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002516942,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0.00016455915,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0789906e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",3.104788e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16558e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0.003105775316,0,0,0,0,0,0,0,0,0,0,0,0.0659841,0.122488,0.00253120193,0,0,0,0,0,0,0,0,0,0,0,0.0625711,0.0982177
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0.00239512006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000575941016,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0.001941689228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000656809168,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0.00101905342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181673579,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0.00332770117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000969630752,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0.00760399836,0,0,0,0,0,0,0,0,0,0,0,0,0.312852989999998,0.003422653608,0,0,0,0,0,0,0,0,0,0,0,0,0.158021
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0.000823767737000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000342808025,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0.0323328646,0,0.320541,0,0,0,0,0,0,0,0.106513700000332,0.320541,0.361351,0.406216,0.029144703038,0,0.294054,0,0,0,0,0,0,0,0.0632702300000016,0.294054,0.341892,0.382162
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0.04534950559,0,0.401744,0,0,0,0,0,0,0,0.278504,0.401744,0.482897,0.546614679999999,0.031230952607,0,0.292254,0,0,0,0,0,0,0,0.119215,0.292254,0.341885,0.391014669999999
"45",0.078310367063,0,0.390832,0,0,0,0,0,0,0.128416,0.31531,0.390832,0.426388,0.44784,0.113909653225,0,0.46988,0,0,0,0,0,0,0.2871,0.425801,0.46988,0.499559,0.536585
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0.09803895639,0,0.445024,0,0,0,0,0,0,0.232429,0.361169,0.445024,0.481559,0.506611,0.095237087649,0,0.441545,0,0,0,0,0,0,0.155184,0.400139,0.441545,0.472512,0.502439479999998
"48",8.82077e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.651236e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0.087414336727,0,0.438514,0,0,0,0,0,0,0.130658,0.35696,0.438514,0.471392,0.493595,0.126701173651,0,0.521349,0,0,0,0,0,0,0.279249,0.470580700000003,0.521349,0.564048,0.596499
"50",0.003315905759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000627134598,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0.005885930612,0,0,0,0,0,0,0,0,0,0,0,0,0.333585,0.001739946985,0,0,0,0,0,0,0,0,0,0,0,0,0.093048364999996
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0.00219937669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000463450193,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0.03144841519,0,0.424399,0,0,0,0,0,0,0,0,0.424399,0.490721,0.546699,0.01278260081,0,0.148464,0,0,0,0,0,0,0,0,0.148464,0.202921,0.254944
"62",3.10881e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69652e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0.036637478522,0,0.258651,0,0,0,0,0,0,0,0.17566,0.258651,0.285337,0.309971,0.087423955252,0,0.496774,0,0,0,0,0,0,0,0.439003,0.496774,0.54956,0.580059
"65",8.488558e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20955e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0.006669769066,0,0,0,0,0,0,0,0,0,0,0,0,0.350997,0.002220860433,0,0,0,0,0,0,0,0,0,0,0,0,0.105456
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0.272970696527,0,0.575713,0,0,0,0,0.0932988,0.272862,0.458349,0.547205,0.575713,0.593854,0.610144,0.281847525673,0,0.558682,0,0,0,0,0.0877453,0.325805,0.448352,0.518327,0.558682,0.58719,0.614217
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0.00540015785,0,0,0,0,0,0,0,0,0,0,0,0,0.312174079999995,0.001438464425,0,0,0,0,0,0,0,0,0,0,0,0,0.0803091
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
